time	V(v0)	V(n001)
1.226993219020352e-01	-3.665057e+00	2.480420e+00
1.228946344020352e-01	-3.664905e+00	2.423540e+00
1.230899469020352e-01	-3.664752e+00	2.330208e+00
1.232852594020352e-01	-3.664600e+00	2.201827e+00
1.234805719020352e-01	-3.664448e+00	2.040329e+00
1.236758844020352e-01	-3.664295e+00	1.848143e+00
1.238711969020352e-01	-3.664143e+00	1.628158e+00
1.240665094020352e-01	-3.663991e+00	1.383685e+00
1.242618219020352e-01	-3.663839e+00	1.118399e+00
1.244571344020352e-01	-3.663686e+00	8.362921e-01
1.246524469020352e-01	-3.663534e+00	5.416064e-01
1.248477594020352e-01	-3.663382e+00	2.387744e-01
1.250430719020352e-01	-3.663230e+00	-6.764892e-02
1.252383844020352e-01	-3.663077e+00	-3.730548e-01
1.254336969020352e-01	-3.662925e+00	-6.728496e-01
1.256290094020352e-01	-3.662773e+00	-9.625241e-01
1.258243219020352e-01	-3.662621e+00	-1.237721e+00
1.260196344020352e-01	-3.662469e+00	-1.494302e+00
1.262149469020352e-01	-3.662316e+00	-1.728407e+00
1.264102594020352e-01	-3.662164e+00	-1.936515e+00
1.266055719020351e-01	-3.662012e+00	-2.115497e+00
1.268008844020351e-01	-3.661860e+00	-2.262659e+00
1.269961969020351e-01	-3.661747e+00	-2.375788e+00
1.271915094020351e-01	-3.662355e+00	-2.453184e+00
1.273868219020351e-01	-3.665597e+00	-2.493681e+00
1.275821344020351e-01	-3.670207e+00	-2.496672e+00
1.277774469020351e-01	-3.672596e+00	-2.462110e+00
1.279727594020351e-01	-3.672925e+00	-2.390515e+00
1.281680719020351e-01	-3.672801e+00	-2.282965e+00
1.283633844020350e-01	-3.672648e+00	-2.141077e+00
1.285586969020350e-01	-3.672496e+00	-1.966985e+00
1.287540094020350e-01	-3.672343e+00	-1.763308e+00
1.289493219020350e-01	-3.672190e+00	-1.533109e+00
1.291446344020350e-01	-3.672038e+00	-1.279851e+00
1.293399469020350e-01	-3.671885e+00	-1.007342e+00
1.295352594020350e-01	-3.671733e+00	-7.196826e-01
1.297305719020350e-01	-3.671580e+00	-4.211981e-01
1.299258844020350e-01	-3.671427e+00	-1.163784e-01
1.301211969020349e-01	-3.671275e+00	1.901917e-01
1.303165094020349e-01	-3.671122e+00	4.939012e-01
1.305118219020349e-01	-3.670970e+00	7.901819e-01
1.307071344020349e-01	-3.670817e+00	1.074578e+00
1.309024469020349e-01	-3.670665e+00	1.342811e+00
1.310977594020349e-01	-3.670512e+00	1.590847e+00
1.312930719020349e-01	-3.670360e+00	1.814955e+00
1.314883844020349e-01	-3.670207e+00	2.011764e+00
1.316836969020349e-01	-3.670055e+00	2.178315e+00
1.318790094020348e-01	-3.669902e+00	2.312102e+00
1.320743219020348e-01	-3.669750e+00	2.411112e+00
1.322696344020348e-01	-3.669597e+00	2.473858e+00
1.324649469020348e-01	-3.669445e+00	2.499394e+00
1.326369696324837e-01	-3.669310e+00	2.490748e+00
1.328322821324837e-01	-3.669158e+00	2.445712e+00
